Pattern
"Tribunal"
"Tribunal da Comarca"
"Juízo"
"Secção"
"Vara"
"Arguído"
"Arguída"
"Arguídos"
"Arguídas"
"Réu"
"Reu"
"Ré"
"Rés"
"Autores"
"Supremo Tribunal de Justiça"
"STJ"
"Supremo Tribunal"
"Requerida"
"Autora"
"Instância"
"Relação"
"Supremo"
"Recorrente"
"Recorrida"
"Recorrido"
"Tribunal da Relação"
"artº"
"Exª"
"Exº"
"Secção do Supremo Tribunal de Justiça"
"A.A."
"nºs"
"Juiz"
"Juíza"
"Procurador"
"Procuradora"
"Magistrado"
"Magistrada"
"Desembargador"
"Desembargadora"
"Relator"
"Relator:"
"Relatora"
"Conselheiro"
"Conselheira"
"Ministério Público"
"MP"
"Procuradoria-Geral da República"
"PGR"
"Ministério"
"Conselho Superior da Magistratura"
"CSM"
"Secretaria"
"Polícia de Segurança Pública"
"PSP"
"Guarda Nacional Republicana"
"GNR"
"Polícia Judiciária"
"PJ"
"Autoridade Tributária"
"AT"
"ANSR"
"IMT"
"Câmara Municipal"
"Junta de Freguesia"
"Assembleia da República"
"AR"
"Assembleia Municipal"
"Marinha"
"Exército"
"Força Aérea"
"Instituto"
"Autoridade"
"Direção-Geral"
"Comissão"
"Direção"
"Segurança Social"
"SNS"
"Departamento"
"Agência"
